"ID","FNAME","LNAME","SEX","AGE","ADDRESS","ZIPCODE","WAGE"
"357","Eileen","Eggert",1,34,"34 Carter Street",62434,4.46171238548759
"358","Wilma","Urban",1,52,"543 Philli Lane",74119,5.48794415717571
"359","Theodore","Daniel",0,20,"4558 Terra Cotta Street",55804,5.33411230343464
"360","Donald","Reed",0,32,"2302 Roguski Road",71457,8.22662478056202
"361","wilma","Herring",1,20,"3927 Mulberry Avenue",72211,3.26007572912296
"362","Warren","Holmes",0,43,"4470 Asylum Avenue",6995,9.41562310329477
"363","Deirdre","Moore",1,34,"3096 Private Lane",31701,7.07555667940271
"364","Kay","Haas",1,42,"4121 Oak Lane",65233,4.85819318721186
"365","Jessica","Ward",1,32,"3890 Farland Street",1581,5.71791120086479
"366","Michael","Boyd",0,25,"4235 Cunningham Court",48075,6.24908480373258
"367","Melvin","Knowles",0,21,"2844 Calvin Street",21202,5.92984970155187
"368","Jason","Adam",0,28,"83 Franklee Lane",19108,5.76162801680164
"369","Lois","Velez",1,61,"262 Ocala Street",32751,4.84031942732036
"370","Nathan","Rider",0,35,"3330 Lauren Drive",53703,4.79937636308311
"371","Ella","Shields",1,63,"947 Broaddus Avenue",40160,2.77457895960748
"372","Evelina","Crawford",1,56,"3995 Bluff Street",21740,5.23700243044994
"373","Helen","Sauers",1,31,"4857 Brown Street",94520,4.25189000941303
"374","Marietta","Miller",1,32,"3089 Richards Avenue",95202,5.5498809329798
"375","Richard","Jaramillo",0,38,"3150 Winifred Way",46016,5.98519795724353
"376","Peggy","Butler",1,25,"2946 Jehovah Drive",22448,7.46730704097119
"377","Bonnie","Smith",1,27,"4139 Oak Lane",64601,6.16863120161922
"378","Corazon","Patten",1,24,"3678 May Street",42633,1.80056737566527
"379","Melissa","Lahti",1,23,"3526 Drummond Street",7416,5.92642656952511
"380","Cynthia","McNeal",1,20,"4586 Weekley Street",78237,3.47865434233984
"381","John","Hickson",0,42,"2882 Pursglove Court",45406,10.0091707879703
"382","Shawna","Green",1,42,"2145 Carriage Lane",43609,6.89850666313125
"383","Paulette","Roberson",1,33,"4053 Melville Street",38374,4.86912503147489
"384","Ashley","Villareal",1,25,"3522 Weekley Street",78205,6.15970499057298
"385","Kelli","Perrone",1,34,"3114 Poe Lane",64110,9.55638404149919
"386","Anthony","Barnes",0,20,"3610 Hornor Avenue",74020,3.22955583406103
"387","Lewis","Fry",0,38,"2481 Five Points",21201,7.62710943916228
"388","Scott","Martinez",0,44,"302 Sheila Lane",84728,7.77482737521283
"389","Maxine","Giroux",1,53,"1158 Turkey Pen Road",10038,6.25573336277075
"390","Deborah","Morin",1,59,"3576 Massachusetts Avenue",20024,4.0701261854185
"391","Erin","Sims",1,45,"527 Bird Spring Lane",77060,7.40339337777965
"392","Rose","Barefoot",1,23,"2489 Chapel Street",77056,5.29828946977432
"393","Earl","Pettyjohn",0,36,"1194 Rosewood Court",55415,9.53679794044607
"394","Misty","Kelly",1,39,"2738 Saint James Drive",17013,3.95793859660887
"395","Jose","Wiley",0,28,"3811 Charack Road",47802,5.66648459066452
"396","Jeffery","Robinson",0,20,"4108 Maple Street",90017,6.3595345522284
"397","Louise","Swartz",1,61,"3143 Asylum Avenue",6902,8.2421397126165
"398","Matthew","Collins",0,22,"2568 Eagle Street",62901,6.13860989011169
"399","Estelle","Robinette",1,18,"1549 Leo Street",80015,4.42151228315699
"400","Tiffany","Contreras",1,44,"4613 Queens Lane",23004,7.4788187398909
"401","Lena","Puckett",1,41,"700 Hershell Hollow Road",37601,10.0441882690823
"402","Judith","Aguero",1,33,"3492 Davis Avenue",95540,6.10933159596263
"403","Ana","Baldwin",1,30,"555 Charla Lane",75000,7.10045464787449
"404","Mary","Bloom",1,62,"4838 Riverside Drive",30901,8.48334311268728
"405","Craig","Flanagan",0,20,"182 Oakway Lane",90040,5.83342311883336
"406","Philip","Levi",0,61,"4050 Hart Ridge Road",48607,6.86817345998155
"407","Sheryl","Myers",1,28,"4205 Tree Frog Lane",64106,5.338112312563
"408","Phyllis","Wiseman",1,49,"949 Roosevelt Street",94112,6.47508101340391
"409","Larry","Schmidt",0,25,"2982 Star Route",60106,6.38370423729372
"410","Rodney","Goodman",0,24,"1037 Wolf Pen Road",94143,4.98803287829954
"411","Patrick","Rollins",0,54,"702 Berkshire Circle",37917,9.75653139626766
"412","William","Cooper",0,56,"2332 Woodstock Drive",91731,8.83548194828863
"413","Cathleen","Crane",1,35,"4581 Del Dew Drive",20031,7.11600890456135
"414","Rene","Jenkins",0,62,"2910 Woodland Avenue",70458,8.61034173219447
"415","Joseph","Thames",0,19,"4391 Ryder Avenue",98011,5.00342957363073
"416","Tyrone","Murphy",0,19,"147 Southside Lane",90022,5.24870389227036
"417","Belle","Waddell",1,44,"441 Stutler Lane",16803,6.18443711482214
"418","Kenneth","Matthews",0,43,"272 Pursglove Court",45406,9.90947403773315
"419","Margaret","Beason",1,26,"427 Metz Lane",8102,5.08091067752556
"420","Cindy","Shick",1,28,"422 Marietta Street",94928,3.67884855031109
"421","Pat","Johnson",1,51,"4398 Coburn Hollow Road",61375,4.83166612460091
"422","Harry","Landrum",0,30,"820 Pearcy Avenue",46804,5.95680053119514
"423","Anna","Barr",1,27,"2047 Stone Lane",19103,6.483292306499
"424","Jon","Hendricks",0,35,"1099 Post Avenue",60126,8.58552967549458
"425","Jim","Heler",0,28,"2781 Pointe Lane",33064,4.67330913249394
"426","Sarah","Stubs",1,59,"961 Rockford Mountain Lane",54302,3.01550925205634
"427","Trudy","Moore",1,61,"2626 Redbud Drive",11227,5.59554176307936
"428","Jose","Smith",0,27,"321 Ferguson Street",2127,4.29395476016126
"429","Leona","Lukes",1,53,"1502 Libby Street",90501,7.79280290762541
"430","Nichole","Big",0,53,"2648 Duck Creek Road",94306,15.0655281516303
"431","Wallace","Braden",0,39,"1760 Mayo Street",40507,13.8901175865502
"432","Anthony","Khan",0,54,"3981 Hilltop Drive",79101,13.3951292078233
"433","Samantha","Charette",1,28,"1935 Flanigan Oaks Drive",20904,7.61850999858954
"434","Felipe","Huber",0,35,"4157 Lilac Lane",31405,9.02248062802555
"435","Sam","Stone",0,48,"1444 Godfrey Street",97048,13.9232417082782
"436","Dave","McGreevy",0,32,"4365 Weekley Street",78212,9.5083011932218
"437","Edward","Kelly",0,29,"3351 Hickory Heights Drive",21090,12.1768324747788
"438","Leona","Roberts",1,26,"2303 Lakewood Drive",8872,9.66532852817732
"439","Pedro","Parks",0,36,"339 Kerry Way",90241,8.9297087375403
"440","Branda","Clark",0,27,"2985 Main Street",98109,14.2294819797588
"441","Ella","Richie",1,30,"237 Arbutus Drive",33012,9.06469725360839
"442","Angela","Gonzales",1,54,"3433 Willow Greene Drive",36117,10.5158826737823
"443","Joshua","Cummings",0,27,"1857 Fleming Street",36830,9.35618464368293
"444","Cheryl","Fay",1,18,"1112 Grand Avenue",32751,6.57856562652686
"445","Dewey","Lester",0,35,"4531 White Pine Lane",22960,13.9125193756379
"446","Scott","Bates",0,36,"4103 Cerullo Road",40242,14.2714348189774
"447","Jana","Higgs",1,28,"2618 Victoria Street",70806,9.37672327953683
"448","Doug","Schaff",0,30,"707 Werninger Street",77032,10.8115502589002
"449","Will","Kessler",0,36,"44 Ferry Street",35203,14.5933148280984
"450","Toni","Kenny",1,28,"3978 Melm Street",32789,8.7516283243836
"451","Maryanne","Herrera",1,31,"2499 Brannon Avenue",32202,6.70147709475753
"452","Stephanie","Halcomb",1,35,"1615 Mudlick Road",99301,11.8736483694534
"453","Emily","Avery",1,47,"3225 Blue Spruce Lane",21667,11.1004462188624
"454","Tim","Fifer",0,31,"2558 Cambridge Place",21202,12.584451944587
"455","Don","Meeks",0,36,"2636 Providence Lane",92614,13.6640862573863
"456","Tom","Gordillo",0,43,"2291 Arron Smith Drive",96814,14.5905668953776
"457","Mariane","Jonson",1,34,"1311 Upton Avenue",4092,12.165767396845
"458","Hester","Jenkins",1,39,"3742 Hood Avenue",92111,12.5627581060223
"459","Marcel","Spence",0,31,"1667 Big Elm",64106,11.6459382341239
"460","Christ","Walker",0,31,"2785 Harley Vincent Drive",44128,10.5583444145008
"461","Brooke","McVey",1,44,"4968 Clifford Street",94578,11.6514014733234
"462","Nancy","Thole",1,46,"3067 Grove Street",11735,10.8091508583833
"463","Samantha","Smith",1,38,"3303 Wolf Pen Road",94063,7.08157836503678
"464","Daniel","Murphy",0,38,"3467 Douglas Dairy Road",24230,10.847159780188
"465","Michelle","Small",1,29,"2755 Sardis Sta",75074,8.52264524574575
"466","Lorena","Reiter",1,29,"52 Meadow View Drive",6109,6.01734839237404
"467","Gloria","Lineberger",1,29,"2699 Polk Street",85705,8.38495201742368
"468","Elvira","Greenwood",1,34,"2911 Hedge Street",7304,8.96388721840857
"469","David","Williams",0,57,"2348 Geraldine Lane",10022,20.4808778082882
"470","Rose","Frazier",1,39,"3405 Hillview Street",29210,7.40598270310766
"471","Charles","Howell",0,26,"395 Clover Drive",80903,8.43820825594203
"472","Edward","Hale",0,34,"3321 Rainbow Drive",44691,11.8825639555513
"473","Kristopher","Bowyer",0,38,"2690 Brookview Drive",95113,17.1441921805716
"474","Emiko","Fox",1,32,"4322 Aspen Court",2115,9.03567699761068
"475","Daryl","Martin",0,38,"2118 Hartland Avenue",54301,12.9954653686586
"476","Dennis","Segovia",0,51,"3788 Fulton Street",26062,15.7594915874871
"477","Mitch","Sanders",0,22,"2491 Kimberly Way",49503,8.58518460403552
"478","John","Graff",0,51,"2393 Duck Creek Road",94612,17.5594188590082
"479","Ralph","Disney",0,21,"1027 Beech Street",94104,7.62577300071982
"480","John","Mitchell",0,36,"3443 Ash Avenue",63101,13.9556461493652
"481","Corey","Clayton",0,20,"3552 Frum Street",37217,5.96971805797899
"482","Angel","Stokes",0,57,"2772 Marigold Lane",33176,17.8906805943616
"483","Norman","Huff",0,60,"4305 Atha Drive",93301,11.9706415746923
"484","Faith","Brown",1,42,"2983 Hart Ridge Road",48624,13.3379509550916
"485","Matthew","Vine",0,26,"651 Steele Street",61257,11.5431122166619
"486","Nicole","Montana",1,64,"4899 Edgewood Avenue",93710,14.4118438734418
"487","Jan","Dennison",0,39,"1933 Calico Drive",98801,9.87992283404282
"488","June","Miller",1,24,"2658 College Street",30030,6.23243377175538
"489","Lily","Fustons",1,33,"1013 Carolina Avenue",78501,11.0338437300374
"490","Ruth","Williams",1,38,"4199 Junior Avenue",30303,10.09547519043
"491","Melvin","Oliva",0,42,"2964 Mandan Road",65207,11.7446480764065
"492","Gladys","Rush",1,36,"4447 Brighton Circle Road",56301,11.8590899347347
"493","Virginia","Rood",1,50,"2116 Confederate Drive",13021,14.7241630013874
"494","Pat","Steven",1,32,"2587 Kooter Lane",28105,6.49635253199166
"495","Elena","Dunton",1,27,"3720 Cedar Street",72201,7.75140007894648
"496","Lawrence","Myers",0,26,"4231 Williams Lane",67202,9.73787249319809
"497","Sandra","Ramos",1,61,"48 Gregory Lane",40299,11.8601532213501
"498","Pam","Meekers",1,49,"1087 Wakefield Street",19034,14.8373522902151
"499","Angelique","Tidwell",1,26,"4898 Eagle Drive",48075,8.28233390165755
"500","Kathleen","Rittenberry",1,55,"2896 Bee Street",49470,15.4156995111496
"501","Linda","Delamora",1,36,"2211 Moonlight Drive",8232,10.5760161610013
"502","Margaret","Reeves",1,60,"2223 Fairfield Road",53202,7.37732854383856
"503","John","Lineberry",0,41,"4650 Oakridge Farm Lane",53525,13.3264600336796
"504","Alice","Rule",1,21,"2333 Southern Avenue",50322,2.80953312024339
"505","Vilma","Cassell",1,33,"4480 Cerullo Road",40299,7.82890267149602
"506","Mary","Pace",1,32,"1484 Kincheloe Road",97006,12.5319938174607
"507","Robyn","Manuel",1,39,"707 Randall Drive",96819,8.01206703981916
"508","Craig","Pena",0,31,"2648 Lords Way",38371,11.2277942984572
"509","Beth","Hagan",1,36,"3504 Hedge Street",7109,10.6757548481245
"510","Marianne","Hemmer",1,44,"3315 Edwards Street",27834,13.134658961265
"511","Kimberly","Sanders",1,37,"269 Beech Street",94108,11.6458799509323
"512","Daniel","Clark",0,33,"1069 Rosewood Lane",10003,10.5453081691021
"513","Michael","Adams",0,47,"1092 Post Farm Road",30303,18.4153272236119
"514","Henry","Zinn",0,57,"4510 Hiddenview Drive",44128,13.8207325598865
"515","Jerome","Moss",0,37,"2160 Berkley Street",19034,10.7238578521334
"516","Teri","Hammonds",1,35,"3909 Melrose Street",98935,8.19679789866563
"517","Mark","Obrien",0,32,"413 Fort Street",98491,11.2945772802283
"518","Vernice","Tomaszewski",1,43,"3787 Earnhardt Drive",40202,5.8960535789789
"519","Rita","Singleton",1,32,"180 Hanover Street",10016,7.86414869995473
"520","Cherie","Cohen",1,29,"4660 Bell Street",10007,10.3276418980544
"521","Wendell","McGrew",0,30,"1334 Shinn Street",10016,10.7475978198107
"522","Richard","White",0,39,"4959 Reppert Coal Road",48219,11.6707255136906
"523","Dennis","Jones",0,32,"1955 Winding Way",2887,13.0239174994024
"524","Joseph","Meeker",0,25,"3993 Coal Street",16335,9.48339531143626
"525","Martha","Matthews",1,49,"3299 Bel Meadow Drive",92335,8.7339063963223
"526","Pat","Watkins",1,32,"117 Highland View Drive",94260,9.25802712762869
"527","Joshua","Hall",0,31,"566 Marion Drive",33624,9.63518301376351
"528","Jose","Meehan",0,30,"2789 Hillhaven Drive",90017,6.77708442654059
"529","Laura","Cox",1,28,"2204 Allison Avenue",23502,11.3420061823739
"530","Michael","McNear",0,29,"3494 Davis Court",62960,9.70892192205943
"531","Barbara","Tompkins",1,51,"2361 Havanna Street",27401,8.02800083335606
"532","Rosie","Hidalgo",1,48,"52 Levy Court",1824,15.411369638557
"533","Willard","Sage",0,31,"1563 Oakmound Road",60657,9.74509104930362
"534","Bryan","McCoy",0,55,"2689 Duffy Street",46382,13.3188439329062
